Wall time,Step,Value
1481345901.619763,21260,2.0
1481345916.658416,23879,1.0
1481346077.854942,54204,1.0
1481346092.836725,56966,3.0
1481346208.281755,78737,0.0
1481346213.262396,79688,3.0
1481346248.394986,86226,3.0
1481346509.407635,135272,0.0
1481346650.098207,161550,1.0
1481346670.171979,165242,2.0
1481346875.762796,203335,2.0
1481346986.298217,223685,0.0
1481347121.849209,248707,0.0
1481347508.472892,319100,0.0
1481347633.931229,342053,1.0
1481347814.773093,374966,1.0
1481348081.157506,421717,0.0
1481348372.156827,472558,0.0
1481348557.847421,504767,0.0
1481348567.882428,506489,3.0
1481348623.13121,516199,0.0
1481348748.728013,537984,1.0
1481348949.168753,572823,1.0
1481349109.787146,600576,2.0
1481349124.7995,603392,1.0
1481349149.902901,607573,3.0
1481349310.799907,635492,2.0
1481349521.803855,671858,2.0
1481349536.801841,674446,2.0
1481349888.398681,735312,1.0
1481350018.711584,757958,0.0
1481350058.91566,764807,0.0
1481350194.558058,788153,3.0
1481350229.78739,794029,1.0
1481350244.863673,796662,2.0
1481350320.05851,809779,1.0
1481350335.23802,812331,0.0
1481350465.662092,832753,3.0
1481350857.378511,894662,3.0
1481351022.998008,920909,2.0
1481351093.060737,931730,0.0
1481351173.258279,944527,2.0
1481351268.41459,959446,3.0
1481351484.368659,993347,0.0
1481351870.733287,1051220,5.0
1481351895.862752,1055245,3.0
1481351986.272613,1068513,0.0
1481352056.815228,1079177,2.0
1481352132.051728,1090761,1.0
1481352217.342162,1103137,0.0
1481352357.91412,1124403,3.0
1481352704.598704,1175871,3.0
1481352910.489412,1207523,3.0
1481352935.53609,1211335,1.0
1481353813.790218,1358750,3.0
1481353924.030006,1377371,2.0
1481353939.122757,1379974,2.0
1481354034.725677,1396076,1.0
1481354114.768777,1407886,2.0
1481354330.548737,1439622,4.0
1481354430.916792,1454100,2.0
1481354541.204394,1470252,2.0
1481354616.561421,1481545,0.0
1481354741.99296,1500155,2.0
1481354757.137815,1502256,3.0
1481354827.443288,1512804,7.0
1481354887.647717,1521755,2.0
1481354902.679915,1524063,2.0
1481355163.493849,1562563,1.0
1481355213.860842,1569914,1.0
1481355268.897077,1577989,3.0
1481355520.105848,1614811,0.0
1481355550.216022,1619411,2.0
1481355736.032803,1646555,2.0
1481355962.047575,1679674,1.0
1481356393.817365,1743017,0.0
1481357297.135256,1894356,0.0
1481357402.362418,1911568,2.0
1481357839.405804,1979784,2.0
1481357929.911633,1993487,2.0
1481358180.84417,2032171,2.0
1481358381.502638,2063327,1.0
1481358471.854903,2076750,2.0
1481358572.167136,2091526,2.0
1481358793.018745,2124193,2.0
1481358803.089418,2125521,3.0
1481358818.221555,2127844,4.0
1481358843.30003,2131694,2.0
1481358938.705301,2145604,3.0
1481359099.613846,2169268,3.0
1481359295.090419,2198220,1.0
1481359545.587376,2234699,0.0
1481359826.749229,2277954,1.0
1481360042.429043,2310100,2.0
1481360177.930595,2330633,0.0
1481360233.106888,2339047,1.0
1481360458.820094,2373028,2.0
1481360714.709042,2411971,5.0
1481361016.032736,2458443,3.0
1481361116.409192,2473773,3.0
1481361362.837284,2511380,2.0
1481361523.304122,2536118,2.0
1481361718.851099,2566739,2.0
1481362230.925554,2647849,2.0
1481362240.93714,2649283,2.0
1481362361.310564,2667749,2.0
1481362381.323387,2670445,3.0
1481362451.583435,2681652,2.0
1481362456.580178,2682305,1.0
1481362516.811921,2691452,2.0
1481362682.72216,2716759,0.0
1481363023.930251,2768784,6.0
1481363159.651102,2789244,0.0
1481363325.090206,2814385,3.0
1481363721.688488,2875050,2.0
1481363922.618751,2905186,0.0
1481363962.815468,2911622,2.0
1481364188.428979,2946498,0.0
1481364564.861803,3004644,0.0
1481364584.819029,3007454,1.0
1481364589.828755,3008455,3.0
1481364630.117185,3014265,3.0
1481364710.249527,3026830,4.0
1481364715.245277,3027484,3.0
1481365106.971059,3086464,2.0
1481365147.270968,3092397,3.0
